Date,Open,High,Low,Close,Adj Close,Volume
2020-12-21,118021.0,118021.0,114730.0,116016.0,116016.0,10347100
2020-12-22,115825.0,116903.0,115648.0,116348.0,116348.0,6947900
2020-12-23,116636.0,118311.0,116636.0,117857.0,117857.0,6483300
2020-12-28,117806.0,119213.0,117805.0,119051.0,119051.0,7171700
2020-12-29,119130.0,119861.0,118750.0,119475.0,119475.0,6769700
2020-12-30,119410.0,120150.0,118919.0,119306.0,119306.0,8235700
2021-01-04,119024.0,120354.0,118062.0,118558.0,118558.0,8741400
2021-01-05,118835.0,119790.0,116756.0,119223.0,119223.0,9257100
2021-01-06,119377.0,120924.0,118917.0,119851.0,119851.0,11638200
2021-01-07,119103.0,121983.0,119101.0,121956.0,121956.0,11774800
2021-01-08,122387.0,125324.0,122386.0,125077.0,125077.0,11085800
2021-01-11,125075.0,125075.0,122506.0,122807.0,122807.0,9537600
2021-01-12,123255.0,124584.0,123227.0,123998.0,123998.0,8949000
2021-01-13,123996.0,124032.0,121016.0,122040.0,122040.0,10291500
2021-01-14,121947.0,123896.0,121947.0,123481.0,123481.0,8974400
2021-01-15,123472.0,123472.0,120374.0,120502.0,120502.0,9387600
2021-01-18,120351.0,122586.0,120351.0,121242.0,121242.0,7223100
2021-01-19,121250.0,122120.0,119257.0,120673.0,120673.0,7886000
2021-01-20,120645.0,121449.0,118740.0,119708.0,119708.0,7947300
2021-01-21,119628.0,120243.0,117785.0,118443.0,118443.0,8573900
2021-01-22,118318.0,118318.0,116109.0,117172.0,117172.0,9373100
2021-01-26,117381.0,119167.0,116109.0,116464.0,116464.0,10681400
2021-01-27,116463.0,117840.0,114887.0,115882.0,115882.0,12380400
2021-01-28,115882.0,119314.0,115734.0,119314.0,119314.0,12065900
2021-01-29,118880.0,118880.0,115299.0,116007.0,116007.0,10965200
2021-02-01,115093.0,117862.0,115093.0,117365.0,117365.0,8716500
2021-02-02,117520.0,119805.0,117519.0,118234.0,118234.0,11625900
2021-02-03,118235.0,120210.0,118234.0,119725.0,119725.0,8704300
2021-02-04,119728.0,120560.0,118918.0,119261.0,119261.0,8100700
2021-02-05,119261.0,121117.0,119261.0,119925.0,119925.0,8208400
2021-02-08,120239.0,120844.0,119140.0,119516.0,119516.0,8619100
2021-02-09,119696.0,119975.0,118246.0,119429.0,119429.0,7913500
2021-02-10,119472.0,119738.0,117970.0,118430.0,118430.0,8644600
2021-02-11,118440.0,120283.0,118440.0,119235.0,119235.0,7567400
2021-02-12,119300.0,119763.0,118163.0,119116.0,119116.0,7655900
